Line Number,Year,Month,State,Labor Force,Employed,Unemployed,Unemployment Rate,Industry,Gender,Education Level,Date Inserted,InsertSource,Data Version,Access Permission,Update Frequency,Aggregation Level,Data Accuracy
16,2021,May,NY,110000,99000,11000,0.1,Manufacturing,Male,Master's degree,5/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
17,2021,May,NY,68000,63000,5000,0.073529412,Retail,Female,Associate's degree,5/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
18,2021,May,CA,180000,162000,18000,0.1,Retail,Male,High school diploma,5/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
19,2021,May,CA,105000,94500,10500,0.1,Manufacturing,Female,Bachelor's degree,5/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
20,2021,Jun,NY,170000,153000,17000,0.1,Finance,Male,Bachelor's degree,6/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
21,2021,Jun,NY,80000,72000,8000,0.1,Healthcare,Female,High school diploma,6/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
22,2021,Jun,CA,15282000,14079000,1203000,0.078720063,Education,Female,Bachelor's degree,6/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
23,2021,Jun,CA,11374000,10516000,858000,0.075435203,Healthcare,Male,High school diploma,6/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
24,2021,Jul,CA,120000,108000,12000,0.1,Tech,Male,Bachelor's degree,7/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
25,2021,Jul,CA,100000,90000,10000,0.1,Education,Female,High school diploma,7/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
26,2021,Jul,NY,980000,882000,98000,0.1,Agriculture,Male,High school diploma,7/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
27,2021,Jul,NY,415000,373500,41500,0.1,Healthcare,Female,Bachelor's degree,7/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
28,2021,Aug,NY,130000,117000,13000,0.1,Retail,Male,Master's degree,8/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
29,2021,Aug,NY,85000,76500,8500,0.1,Hospitality,Female,Associate,8/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
30,2021,Aug,CA,77000,65450,11550,0.15,Manufacturing,Male,Bachelor's degree,8/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
31,2021,Aug,CA,52000,44200,7800,0.15,Retail,Female,High school diploma,8/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
32,2021,Sep,CA,15321000,14181000,1140000,0.074407676,Energy,Female,Associate's degree,9/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
33,2021,Sep,CA,11404000,10546000,858000,0.075236759,Education,Male,High school diploma,9/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
34,2021,Sep,NY,190000,171000,19000,0.1,Energy,Male,Bachelor's degree,9/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
35,2021,Sep,NY,100000,90000,10000,0.1,Healthcare,Female,High school diploma,9/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
36,2021,Oct,CA,140000,126000,14000,0.1,Manufacturing,Male,Bachelor's degree,10/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
37,2021,Oct,CA,105000,94500,10500,0.1,Retail,Female,High school diploma,10/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
38,1998,Oct,NY,817000,754000,63000,0.077111383,Agriculture,Male,Bachelor's degree,10/1/1998,Web,V2.3,Public,Monthly,Country,Highly Random
39,1998,Oct,NY,407000,378000,29000,0.071253071,Retail,Female,High school diploma,10/1/1998,Web,V2.3,Public,Monthly,Country,Highly Random
40,2021,Nov,NY,115000,103500,11500,0.1,Finance,Male,Master's degree,11/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
41,2021,Nov,NY,75000,67500,7500,0.1,Education,Female,Associate's degree,11/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
42,2021,Nov,CA,150000,135000,15000,0.1,Manufacturing,Male,Bachelor's degree,11/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
43,2021,Nov,CA,115000,103500,11500,0.1,Retail,Female,High school diploma,11/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
44,2021,Dec,NY,160000,144000,16000,0.1,Agriculture,Male,Bachelor's degree,12/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
45,2021,Dec,NY,85000,76500,8500,0.1,Healthcare,Female,High school diploma,12/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
46,2021,Dec,CA,190000,171000,19000,0.1,Energy,Male,Bachelor's degree,12/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
47,2021,Dec,CA,100000,90000,10000,0.1,Healthcare,Female,High school diploma,12/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
48,2022,Jan,CA,125000,112500,12500,0.1,Technology,Male,Bachelor's degree,1/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
49,2022,Jan,CA,65400,62000,3400,0.051987768,Healthcare,Female,High school diploma,1/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
50,2022,Jan,NY,130000,117000,13000,0.1,Retail,Male,Bachelor's degree,1/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
51,2022,Jan,NY,90000,81000,9000,0.1,Healthcare,Female,High school diploma,1/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
52,2022,Feb,NY,120000,108000,12000,0.1,Finance,Male,Master's degree,2/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
53,2022,Feb,NY,75000,67500,7500,0.1,Education,Female,Associate's degree,2/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
54,2022,Feb,CA,1060000,961000,99000,0.093396226,Manufacturing,Male,Bachelor's degree,2/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
55,2022,Feb,CA,650000,589000,61000,0.093846154,Education,Female,High school diploma,2/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
56,2022,Mar,NY,180000,162000,18000,0.1,Energy,Male,Bachelor's degree,3/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
57,2022,Mar,NY,95000,85500,9500,0.1,Retail,Female,High school diploma,3/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
58,2022,Mar,CA,230000,207000,23000,0.1,Agriculture,Male,Bachelor's degree,3/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
59,2022,Mar,CA,120000,108000,12000,0.1,Healthcare,Female,High school diploma,3/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
60,2022,Apr,CA,135000,121500,13500,0.1,Manufacturing,Male,Bachelor's degree,4/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
61,2022,Apr,CA,90000,81000,9000,0.1,Healthcare,Female,High school diploma,4/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
62,2022,Apr,NY,875000,788000,87000,0.099428571,Agriculture,Male,High school diploma,4/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
63,2022,Apr,NY,325000,293000,32000,0.098461538,Healthcare,Female,Bachelor's degree,4/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
64,2022,May,NY,115000,103500,11500,0.1,Technology,Male,Bachelor's degree,5/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
65,2022,May,NY,70000,63000,7000,0.1,Education,Female,Associate's degree,5/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
66,2022,May,CA,1270000,1148000,122000,0.096062992,Manufacturing,Male,Bachelor's degree,5/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
67,2022,May,CA,750000,675000,75000,0.1,Retail,Female,High school diploma,5/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
68,2022,Jun,NY,160000,144000,16000,0.1,Energy,Male,Bachelor's degree,6/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
69,2022,Jun,NY,85000,76500,8500,0.1,Retail,Female,High school diploma,6/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
70,2022,Jun,CA,15301000,14138000,1163000,0.076008104,Agriculture,Female,High school diploma,6/1/2022,Web,V2.3,Public,Monthly,,Highly Random
71,2022,Jun,CA,11389000,10531000,858000,0.07533585,Healthcare,Male,Bachelor's degree,6/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
72,2022,Jul,CA,130000,117000,13000,0.1,Manufacturing,Male,Bachelor's degree,7/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
73,2022,Jul,CA,85000,76500,8500,0.1,Healthcare,Female,High school diploma,7/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
74,2022,Jul,NY,980000,882000,98000,0.1,Agriculture,Male,High school diploma,7/1/2022,Web,V2.3,Public,Monthly,,Highly Random
75,2022,Jul,NY,415000,373500,41500,0.1,Healthcare,Female,Bachelor's degree,7/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
76,2022,Aug,NY,110000,99000,11000,0.1,Finance,Male,Master's degree,8/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
77,2022,Aug,NY,75000,67500,7500,0.1,Education,Female,Associate's,8/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
78,2022,Aug,CA,150000,133100,16900,0.112666667,Finance,Male,Master's degree,8/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
79,2022,Aug,CA,95000,85500,9500,0.1,Retail,Female,Bachelor's degree,8/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
80,2022,Sep,NY,200000,180000,20000,0.1,Energy,Male,Bachelor's degree,9/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
81,2022,Sep,NY,105000,94500,10500,0.1,Healthcare,Female,High school diploma,9/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
82,2022,Sep,CA,140000,126000,14000,0.1,Manufacturing,Male,Bachelor's degree,9/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
83,2022,Sep,CA,90000,81000,9000,0.1,Retail,Female,High school diploma,9/1/2022,Web,V2.3,Public,Monthly,,Highly Random
84,2022,Oct,CA,145000,130500,14500,0.1,Manufacturing,Male,Bachelor's degree,10/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
85,2022,Oct,CA,110000,99000,11000,0.1,Retail,Female,High school diploma,10/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
86,2022,Oct,NY,87000,73950,13050,0.15,Energy,Male,Bachelor's degree,10/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
87,2022,Oct,NY,46000,39100,6900,0.15,Healthcare,Female,High school diploma,10/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
88,2022,Nov,NY,120000,98000,22000,0.183333333,Finance,Male,Master's degree,11/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
89,2022,Nov,NY,80000,72000,8000,0.1,Education,Female,Associate's degree,11/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
90,2022,Nov,CA,60000,51000,9000,0.15,Manufacturing,Male,Master's degree,11/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
91,2022,Nov,CA,39000,33150,5850,0.15,Retail,Female,Associate's degree,11/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
92,2022,Dec,NY,170000,153000,17000,0.1,Agriculture,Male,Bachelor's degree,12/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
93,2022,Dec,NY,90000,81000,9000,0.1,Healthcare,Female,High school diploma,12/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
94,2022,Dec,CA,125000,115625,9375,0.075,Manufacturing,Male,Master's degree,12/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
95,2022,Dec,CA,110000,101400,8600,0.078181818,Retail,Female,High school diploma,12/1/2022,Web,V2.3,Public,Monthly,Country,Highly Random
96,2023,Jan,NY,130000,117000,13000,0.1,Technology,Male,Bachelor's degree,1/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
97,2023,Jan,NY,85000,76500,8500,0.1,Retail,Female,High school diploma,1/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
98,2023,Jan,CA,105000,94500,10500,0.1,Retail,Male,Bachelor's degree,1/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
99,2023,Jan,CA,75000,67500,7500,0.1,Education,Female,High school diploma,1/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
100,2023,Feb,CA,150000,135000,15000,0.1,Manufacturing,Male,Bachelor's degree,2/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
101,2023,Feb,CA,115000,93500,21500,0.186956522,Retail,Female,High school diploma,2/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
102,2023,Feb,NY,120000,108000,12000,0.1,Manufacturing,Male,Associate's degree,2/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
103,2023,Feb,NY,85000,76500,8500,0.1,Finance,Female,High school diploma,2/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
104,2023,Mar,NY,125000,112500,12500,0.1,Finance,Male,Master's degree,3/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
105,2023,Mar,NY,75000,67500,7500,0.1,Education,Female,Associate's degree,3/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
106,2023,Mar,CA,15282000,14079000,1203000,0.078720063,Education,Female,Bachelor's degree,3/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
107,2023,Mar,CA,11374000,10516000,858000,0.075435203,Healthcare,Male,High school diploma,3/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
108,2023,Apr,NY,190000,171000,19000,0.1,Energy,Male,Bachelor's degree,4/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
109,2023,Apr,NY,100000,90000,10000,0.1,Healthcare,Female,Bachelor's degree,4/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
110,2023,Apr,CA,135000,121500,13500,0.1,Agriculture,Male,High school diploma,4/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
111,2023,Apr,CA,95000,85500,9500,0.1,Wholesale Trade,Female,Bachelor's degree,4/1/2023,Web,V2.3,Public,Monthly,Country,Highly Random
112,1995,Jan,NY,790000,712000,78000,0.098734177,Retail,Male,High school diploma,1/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
113,1995,Jan,NY,215000,195000,20000,0.093023256,Healthcare,Female,Bachelor's degree,1/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
114,1995,Jan,CA,130000,117000,13000,0.1,Retail,Male,Bachelor's degree,1/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
115,1995,Jan,CA,90000,81000,9000,0.1,Healthcare,Female,High school diploma,1/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
116,1995,Feb,CA,1060000,961000,99000,0.093396226,Manufacturing,Male,Bachelor's degree,2/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
117,1995,Feb,CA,650000,589000,61000,0.093846154,Education,Female,High school diploma,2/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
118,1995,Feb,NY,126000,115000,11000,0.087301587,Agriculture,Male,Master's degree,2/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
119,1995,Feb,NY,86000,78000,8000,0.093023256,Retail,Female,Associate's degree,2/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
120,1995,Mar,NY,820000,739000,81000,0.098780488,Finance,Male,Master's degree,3/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
121,1995,Mar,NY,305000,275000,30000,0.098360656,Retail,Female,Associate's degree,3/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
122,1995,Mar,CA,130000,120750,9250,0.071153846,Manufacturing,Male,Master's degree,3/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
123,1995,Mar,CA,115000,106950,8050,0.07,Retail,Female,Bachelor's degree,3/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
124,1995,Apr,NY,875000,788000,87000,0.099428571,Agriculture,Male,High school diploma,4/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
125,1995,Apr,NY,325000,293000,32000,0.098461538,Healthcare,Female,Bachelor's degree,4/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
126,1995,Apr,CA,140000,126000,14000,0.1,Wholesale Trade,Male,Bachelor's degree,4/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
127,1995,Apr,CA,105000,94500,10500,0.1,Retail,Female,High school diploma,4/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
128,1995,May,CA,1270000,1148000,122000,0.096062992,Manufacturing,Male,Bachelor's degree,5/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
129,1995,May,CA,690000,675000,15000,0.02173913,Retail,Female,High school diploma,5/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
130,1995,May,NY,170000,144500,25500,0.15,Manufacturing,Male,High school diploma,5/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
131,1995,May,NY,110000,93500,16500,0.15,Education,Female,Master's degree,5/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
132,1995,Jun,NY,895000,805500,89500,0.1,Finance,Male,Master's degree,6/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
133,1995,Jun,NY,405000,364500,40500,0.1,Education,Female,Associate's degree,6/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
134,1995,Jun,CA,135000,126900,8100,0.06,Manufacturing,Male,Master's degree,6/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
135,1995,Jun,CA,120000,112200,7800,0.065,Retail,Female,High school diploma,6/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
136,1995,Jul,NY,980000,882000,98000,0.1,Agriculture,Male,High school diploma,7/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
137,1995,Jul,NY,415000,373500,41500,0.1,Healthcare,Female,Bachelor's degree,7/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
138,1995,Jul,CA,140000,126000,14000,0.1,Manufacturing,Male,Bachelor's degree,7/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
139,1995,Jul,CA,105000,94500,10500,0.1,Retail,Female,High school diploma,7/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
140,1995,Aug,CA,1440000,1296000,144000,0.1,Manufacturing,Male,Bachelor's degree,8/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
141,1995,Aug,CA,900000,810000,90000,0.1,Retail,Female,High school,8/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
142,1995,Aug,NY,200000,180000,20000,0.1,Energy,Male,Bachelor's degree,8/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
143,1995,Aug,NY,105000,94500,10500,0.1,Healthcare,Female,High school diploma,8/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
144,1995,Sep,NY,110000,99000,11000,0.1,Wholesale Trade,Male,High school diploma,9/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
145,1995,Sep,NY,80000,72000,8000,0.1,Healthcare,Female,Bachelor's degree,9/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
146,1995,Sep,CA,140000,126000,14000,0.1,Manufacturing,Male,Bachelor's degree,9/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
147,1995,Sep,CA,90000,81000,9000,0.1,Retail,Female,High school diploma,9/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
148,1995,Oct,CA,125000,112500,12500,0.1,Manufacturing,Male,High school diploma,10/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
149,1995,Oct,CA,95000,85500,9500,0.1,Finance,Female,Master's degree,10/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
150,1995,Oct,NY,118000,107000,11000,0.093220339,Finance,Male,Bachelor's degree,10/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
151,1995,Oct,NY,71000,64000,7000,0.098591549,Agriculture,Female,High school diploma,10/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
152,1995,Nov,NY,105000,94500,10500,0.1,Education,Male,Associate's degree,11/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
153,1995,Nov,NY,70000,63000,7000,0.1,Energy,Female,High school diploma,11/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
154,1995,Nov,CA,132000,121000,11000,0.083333333,Healthcare,Male,Master's degree,11/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
155,1995,Nov,CA,88000,80000,8000,0.090909091,Retail,Female,Associate's degree,11/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
156,1995,Dec,NY,140000,126000,14000,0.1,Wholesale Trade,Male,Bachelor's degree,12/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
157,1995,Dec,NY,75000,67500,7500,0.1,Healthcare,Female,High school diploma,12/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
158,1995,Dec,CA,220000,202400,17600,0.08,Manufacturing,Male,Bachelor's degree,12/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
159,1995,Dec,CA,105000,94500,10500,0.1,Retail,Female,High school diploma,12/1/1995,Web,V2.3,Public,Monthly,Country,Highly Random
160,1996,Jan,CA,130000,117000,13000,0.1,Retail,Male,Bachelor's degree,1/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
161,1996,Jan,CA,90000,81000,9000,0.1,Healthcare,Female,High school diploma,1/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
162,1996,Jan,NY,131200,120500,10700,0.081554878,Retail,Male,Bachelor's degree,1/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
163,1996,Jan,NY,90000,81000,9000,0.1,Healthcare,Female,High school diploma,1/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
164,1996,Feb,NY,120000,108000,12000,0.1,Manufacturing,Male,Associate's degree,2/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
165,1996,Feb,NY,85000,76500,8500,0.1,Finance,Female,High school diploma,2/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
166,1996,Feb,CA,80000,68000,12000,0.15,Manufacturing,Male,Associate's degree,2/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
167,1996,Feb,CA,75000,68000,7000,0.093333333,Finance,Female,High school diploma,2/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
168,1996,Mar,NY,150000,135000,15000,0.1,Education,Male,Master's degree,3/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
169,1996,Mar,NY,70000,63000,7000,0.1,Energy,Female,High school diploma,3/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
170,1996,Mar,CA,131200,120500,10700,0.081554878,Education,Male,Master's degree,3/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
171,1996,Mar,CA,75000,69000,6000,0.08,Wholesale Trade,Female,High school diploma,3/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
172,1996,Apr,CA,135000,121500,13500,0.1,Agriculture,Male,High school diploma,4/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
173,1996,Apr,CA,95000,85500,9500,0.1,Healthcare,Female,Bachelor's degree,4/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
174,1996,Apr,NY,88000,80000,8000,0.090909091,Agriculture,Male,High school diploma,4/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
175,1996,Apr,NY,75000,68000,7000,0.093333333,Healthcare,Female,Bachelor's degree,4/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
176,1996,May,NY,115000,103500,11500,0.1,Retail,Male,Associate's degree,5/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
177,1996,May,NY,75000,67500,7500,0.1,Finance,Female,High school diploma,5/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
178,1996,May,CA,95000,85500,9500,0.1,Retail,Male,Associate's degree,5/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
179,1996,May,CA,80000,67500,12500,0.15625,Finance,Female,High school diploma,5/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
180,1996,Jun,NY,160000,144000,16000,0.1,Manufacturing,Male,Bachelor's degree,6/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
181,1996,Jun,NY,85000,76500,8500,0.1,Healthcare,Female,High school diploma,6/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
182,1996,Jun,CA,30000,25500,4500,0.15,Manufacturing,Male,Bachelor's degree,6/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
183,1996,Jun,CA,60000,51000,9000,0.15,Healthcare,Female,High school diploma,6/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
184,1996,Jul,NY,118000,100300,17700,0.15,Education,Male,Bachelor's degree,7/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
185,1996,Jul,NY,62000,52700,9300,0.15,Retail,Female,High school diploma,7/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
186,1996,Jul,CA,98000,83300,14700,0.15,Education,Male,Bachelor's degree,7/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
187,1996,Jul,CA,75000,52700,22300,0.297333333,Retail,Female,High school diploma,7/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
188,1996,Aug,CA,80000,68000,12000,0.15,Healthcare,Male,Master's degree,8/1/1996,Web,V2.3,Public,Monthly,Country,Highly Random
